dbcah_id, compound parent id,OBJ INFO,PARENT,CMODEL,obj_file,sequence,COLX INFO,Collection,resource,subunit_1,subunit_2,subunit_3,collection_strength_1,collection_strength_2,collection_strength_3,collection_strength_4,collection_strength_5,digitization team notes,Contribution to partner repository statement,AV status, ,supplied,description,LOC INFO,location_1,location_type_1,location_2,location_type_2,location_3,location_type_3,location_4,location_type_4,location_5,location_type_5,OTHER ID INFO,other_id_1,other_id_type_1,other_id_2,other_id_type_2,LANG INFO,language_full_1,language_1,language_full_2,language_2,PHYS INFO,form,form_authority,form_URI,extent_1,extent_unit_1,extent_2,extent_unit_2,extent_3,extent_unit_3,digital_origin,type_of_resource,genre_1,genre_URI_1,genre_2,genre_URI_2,av_genre_1,av_genre_URI_1,av_genre_2,av_genre_URI_2,SUBJ TOPIC,subject_topic_1,subject_topic_URI_1,subject_topic_2,subject_topic_URI_2,subject_topic_3,subject_topic_URI_3,SUBJ PLACE,subject_place_1,subject_place_authority_1,subject_place_URI_1,subject_place_2,subject_place_authority_2,subject_place_URI_2,subject_place_3,subject_place_authority_3,subject_place_URI_3,DATE INFO,coverage_single_date_1,coverage_start_date_1,coverage_end_date_1,coverage_date_certainty_1,date_created_single_1,date_created_start_1,date_created_end_1,date_created_certainty_1,date_issued_single_1,date_issued_begin_1,date_issued_end_1,date_issued_certainty_1,SUBJ NAME,subject_name_1,subject_name_type_1,subject_name_authority_1,subject_name_URI_1,subject_name_2,subject_name_type_2,subject_name_authority_2,subject_name_URI_2,CREAT INFO,creator_name_1 ,creator_name_type_1,creator_name_authority_1,creator_name_URI_1,creator_role_1,creator_role_authority_1,creator_role_URI_1,creator_name_2,creator_name_type_2,creator_name_authority_2,creator_name_URI_2,creator_role_2,creator_role_authority_2,creator_role_URI_2,creator_name_3,creator_name_type_3,creator_name_authority_3,creator_name_URI_3,creator_role_3,creator_role_authority_3,creator_role_URI_3,CONTRIB INFO,publisher,contributor_name_1,contributor_name_type_1,contributor_name_authority_1,contributor_name_URI_1,contributor_role_1,contributor_role_authority_1,contributor_role_URI_1,contributor_name_2,contributor_name_type_2,contributor_name_authority_2,contributor_name_URI_2,contributor_role_2,contributor_role_authority_2,contributor_role_URI_2,contributor_name_3,contributor_name_type_3,contributor_name_authority_3,contributor_name_URI_3,contributor_role_3,contributor_role_authority_3,contributor_role_URI_3,SUBJ GENRE,subject_genre_1,,,REL ITEM,related_item_1,related_item_type_1,CURATION,project,theme_1,theme_2,theme_3,ACCESS / USE,rights_1,rights_type_1,rights_2,rights_type_2,restriction_type,restriction_reason,NOTES,processing_note_1,processing_note_type_1,processing_note_2,processing_note_type_2,content_warning_1,cw_message_1,content_warning_2,cw_message_2,TRANSCRIPT
,,,Added at QC,,Added at QC,Added at QC,,,,,,,,,,,,,Select one,,,,,,,,,,,,,,,,,,,,,,,#REF!,,#REF!,,,#REF!,#REF!,,,,,,,,,,#REF!,,#REF!,,#REF!,,#REF!,,,#REF!,,#REF!,,#REF!,,,#REF!,#REF!,,#REF!,#REF!,,#REF!,#REF!,,,,,,,,,,,,,,,,#REF!,#REF!,#REF!,,#REF!,#REF!,#REF!,,,#REF!,#REF!,,,#REF!,#REF!,,#REF!,#REF!,,,#REF!,#REF!,,#REF!,#REF!,#REF!,,#REF!,#REF!,,,,#REF!,#REF!,#REF!,,#REF!,#REF!,,#REF!,#REF!,#REF!,,#REF!,#REF!,,#REF!,#REF!,#REF!,,#REF!,#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!,,#REF!,
camh-dob-030001,,,,islandora:bookCModel,,,,Natchez Trace collection,Natchez Trace collection,Natchez Trace Collection,,,American South,,,,,B00238,Contribute metadata with credit,,"The Vicksburg Daily Times, Volume 1, Number 205",,"Contains advertisements; regional, national, and international news; human-interest stories. Notable articles include a notice of transfer of land via an exchange of islands between Louisiana and Mississippi; commentary on the lack of work done by the Corruption Committee; a report about the House debating the suffrage rights of former rebels and the Reconstruction of the South; a harsh commentary on the laziness of freed African Americans; and a record of a racist speech made by a Democratic Congress member. Researchers may find the exchange of land between Louisiana and Mississippi useful for understanding changes in the cartography of states during the Reconstruction era; the commentary on the Corruption Committee useful for understanding Southern disillusionment with Reconstruction policies; and the comments about African Americans useful for understanding persistent racism in the South during the Reconstruction Era.",,2.325,other,,,,,,,,,,,,,,,English,,,,,,,,4,pages,,,,,reformatted digital,text,Newspapers,,,,,,,,,"Reconstruction (U.S. history, 1865-1877)",,Racism,http://id.worldcat.org/fast/1086616,African Americans--Suffrage,,,Mississippi--Vicksburg,fast,http://id.worldcat.org/fast/1204951,Louisiana,fast,http://id.worldcat.org/fast/1207035,Washington (D.C.),,,,1867-02-19,1867-01-01,,inferred,1867-02-19,,,,1867-02-19,,,,,"Johnson, Andrew, 1808-1875",Personal,viaf,https://viaf.org/en/viaf/73872723,United States. Congress,,,,,"Manlove, Thomas Bolling",Personal,local,,editor,marcrelator,http://id.loc.gov/vocabulary/relators/edt,"Moss, Harry",Personal,local,,editor,,,,,,,,,,,"Shannon, Harvey",,,,,,,,,,,,,,,,,,,,,,,Newspapers,,,,,,,,,,,,Please contact the Briscoe Center for further information regarding the use of this material.,use_and_reproduction,,,,,AI tools were used for OCR (ABBYY FineReader) and image preprocessing (OpenAI Codex). There was a human-in-the-loop for each step of the process verifying the integrity of the outputs.,,,,,cw_bigotry,,,,
camh-dob-030001_0001,,,,islandora:pageCModel,,,,Natchez Trace collection,Natchez Trace collection,Natchez Trace Collection,,,American South,,,,,B00238,Contribute metadata with credit,,"The Vicksburg Daily Times, Volume 1, Number 205, Page 1",,"Contains Vicksburg business directory; details about Vicksburg professional services; news covering stock information, regional, national, and international news; human-interest stories; and advertisements. Notable articles include a notice of transfer of land via an exchange of islands between Louisiana and Mississippi; a report on the Supreme Court disregarding a case for inadmissible evidence; commentary on the lack of work done by the Corruption Committee; a bill of suffrage regardless of sex tabled in the House; and comments about the suffrage rights of former rebels and the Reconstruction of the South. Researchers may find the exchange of land between Louisiana and Mississippi useful for understanding changes in the cartography of states during the Reconstruction era, and the commentary on the Corruption Committee useful for understanding Southern disillusionment with Reconstruction policies.",,2.325,other,,,,,,,,,,,,,,,English,,,,,,,,1,pages,,,,,reformatted digital,text,Newspapers,,,,,,,,,"Reconstruction (U.S. history, 1865-1877)",,Cartography,http://id.worldcat.org/fast/848025,African Americans--Suffrage,,,Mississippi--Vicksburg,fast,http://id.worldcat.org/fast/1204951,Louisiana,fast,http://id.worldcat.org/fast/1207035,Washington (D.C.),,,,1867-02-19,,,inferred,1867-02-19,,,,1867-02-19,,,,,"Johnson, Andrew, 1808-1875",Personal,viaf,https://viaf.org/en/viaf/73872723,United States. Congress,,,,,"Manlove, Thomas Bolling",Personal,local,,editor,marcrelator,http://id.loc.gov/vocabulary/relators/edt,"Moss, Harry",Personal,local,,editor,,,,,,,,,,,"Shannon, Harvey",,,,,,,,,,,,,,,,,,,,,,,Newspapers,,,,,,,,,,,,Please contact the Briscoe Center for further information regarding the use of this material.,use_and_reproduction,,,,,AI tools were used for OCR (ABBYY FineReader) and image preprocessing (OpenAI Codex). There was a human-in-the-loop for each step of the process verifying the integrity of the outputs.,,,,,cw_bigotry,,,,
camh-dob-030001_0002,,,,islandora:pageCModel,,,,Natchez Trace collection,Natchez Trace collection,Natchez Trace Collection,,,American South,,,,,B00238,Contribute metadata with credit,,"The Vicksburg Daily Times, Volume 1, Number 205, Pages 2-3",,"Contains regional and national news; human-interest stories; river news; notices and rewards; and advertisements. Notable articles include a harsh commentary on the laziness of freed African Americans; a Majority Report from the Mississippi Committee on State and Federal relations, calling for an adjustment to their practices in favor of establishing a Republican government; and a record of a racist speech made by a Democratic Congress member. Researchers may find the commentary and speech useful for understanding persistent racism in the South during the Reconstruction Era.",,2.325,other,,,,,,,,,,,,,,,English,,,,,,,,2,pages,,,,,reformatted digital,text,Newspapers,,,,,,,,,"Reconstruction (U.S. history, 1865-1877)",,Advertising,http://id.worldcat.org/fast/797511,Racism,,,Mississippi--Vicksburg,fast,http://id.worldcat.org/fast/1204951,Washington (D.C.),fast,http://id.worldcat.org/fast/1204505,Mississippi River,,,,1867-02-19,,,inferred,1867-02-19,,,,1867-02-19,,,,,"Johnson, Andrew, 1808-1875",Personal,viaf,https://viaf.org/en/viaf/73872723,"Lincoln, Abraham, 1809-1865",,,,,"Manlove, Thomas Bolling",Personal,local,,editor,marcrelator,http://id.loc.gov/vocabulary/relators/edt,"Moss, Harry",Personal,local,,editor,,,,,,,,,,,"Shannon, Harvey",,,,,,,,,,,,,,,,,,,,,,,Newspapers,,,,,,,,,,,,Please contact the Briscoe Center for further information regarding the use of this material.,use_and_reproduction,,,,,AI tools were used for OCR (ABBYY FineReader) and image preprocessing (OpenAI Codex). There was a human-in-the-loop for each step of the process verifying the integrity of the outputs.,,,,,cw_bigotry,,,,
camh-dob-030001_0003,,,,islandora:pageCModel,,,,Natchez Trace collection,Natchez Trace collection,Natchez Trace Collection,,,American South,,,,,B00238,Contribute metadata with credit,,"The Vicksburg Daily Times, Volume 1, Number 205, Page 4",,"Contains Masonic Directory; trustee’s sales; advertisements for land agents purchasing, selling, and leasing lands; advertisements for machinery, railroads, medicines, other businesses and services. Researchers may find advertisements useful for understanding contemporary medicine, machinery, etc.",,2.325,other,,,,,,,,,,,,,,,English,,,,,,,,1,pages,,,,,reformatted digital,text,Newspapers,,,,,,,,,"Reconstruction (U.S. history, 1865-1877)",,Advertising,http://id.worldcat.org/fast/797511,Freemasonry,,,Mississippi--Vicksburg,fast,http://id.worldcat.org/fast/1204951,Louisiana--New Orleans,fast,http://id.worldcat.org/fast/1204930,Missouri--Saint Louis,,,,1867-02-19,,,inferred,1867-02-19,,,,1867-02-19,,,,,"Kuner, Max",personal,local,,"Hubbard, H. H.",,,,,"Manlove, Thomas Bolling",Personal,local,,editor,marcrelator,http://id.loc.gov/vocabulary/relators/edt,"Moss, Harry",Personal,local,,editor,,,,,,,,,,,"Shannon, Harvey",,,,,,,,,,,,,,,,,,,,,,,Newspapers,,,,,,,,,,,,Please contact the Briscoe Center for further information regarding the use of this material.,use_and_reproduction,,,,,AI tools were used for OCR (ABBYY FineReader) and image preprocessing (OpenAI Codex). There was a human-in-the-loop for each step of the process verifying the integrity of the outputs.,,,,,cw_bigotry,,,,
camh-dob-030002,,,,islandora:bookCModel,,,,Natchez Trace collection,Natchez Trace collection,Natchez Trace Collection,,,American South,,,,,B00238,Contribute metadata with credit,,"The Vicksburg Daily Times, Volume 1, Number 206",,"Contains advertisements; regional, national, and international news; human-interest stories. Notable articles include a report on the passing of the last revolutionary soldier; reports on House and Senate discussion stalemates; and an opinion piece recommending the government abolish the internal revenue in favor of direct taxation. Researchers may find the various Congress disagreements described in this issue useful for understanding the obstacles towards implementing Reconstruction policies.",,2.325,other,,,,,,,,,,,,,,,English,,,,,,,,4,pages,,,,,reformatted digital,text,Newspapers,,,,,,,,,"Reconstruction (U.S. history, 1865-1877)",,Indians of North America--Government relations,http://id.worldcat.org/fast/969761,American Civil War (United States : 1861-1865),,,Mississippi--Vicksburg,fast,http://id.worldcat.org/fast/1204951,Louisiana--New Orleans,fast,http://id.worldcat.org/fast/1204311,Washington (D.C.),,,,,1864-01-01,1867-02-20,inferred,1867-02-20,,,,1867-02-20,,,,,United States. Congress,corporate ,national,,"Downing, Samuel, 1761-1867",,,,,"Manlove, Thomas Bolling",Personal,local,,editor,marcrelator,http://id.loc.gov/vocabulary/relators/edt,"Moss, Harry",Personal,local,,editor,,,,,,,,,,,"Shannon, Harvey",,,,,,,,,,,,,,,,,,,,,,,Newspapers,,,,,,,,,,,,Please contact the Briscoe Center for further information regarding the use of this material.,use_and_reproduction,,,,,AI tools were used for OCR (ABBYY FineReader) and image preprocessing (OpenAI Codex). There was a human-in-the-loop for each step of the process verifying the integrity of the outputs.,,,,,cw_bigotry,,,,
camh-dob-030002_0001,,,,islandora:pageCModel,,,,Natchez Trace collection,Natchez Trace collection,Natchez Trace Collection,,,American South,,,,,B00238,Contribute metadata with credit,,"The Vicksburg Daily Times, Volume 1, Number 206, Page 1",,"Contains Vicksburg business directory; details about Vicksburg professional services; news covering stock information; regional, national, and international news; human-interest stories; and advertisements. Notable articles include a report on the passing of the last revolutionary soldier, and reports on House and Senate deliberations, from abundant stalemates to the abolishment of passports and the passing of the Indian appropriation bill. Researchers may find the various Congress disagreements described in this issue useful for understanding the obstacles towards implementing Reconstruction policies.",,2.325,other,,,,,,,,,,,,,,,English,,,,,,,,1,pages,,,,,reformatted digital,text,Newspapers,,,,,,,,,"Reconstruction (U.S. history, 1865-1877)",,Indians of North America--Government relations,http://id.worldcat.org/fast/969761,Advertising,,,Mississippi--Vicksburg,fast,http://id.worldcat.org/fast/1204951,Louisiana--New Orleans,fast,http://id.worldcat.org/fast/1204311,Washington (D.C.),,,,1867-02-20,,,inferred,1867-02-20,,,,1867-02-20,,,,,United States. Congress,corporate ,national,,"Downing, Samuel, 1761-1867",,,,,"Manlove, Thomas Bolling",Personal,local,,editor,marcrelator,http://id.loc.gov/vocabulary/relators/edt,"Moss, Harry",Personal,local,,editor,,,,,,,,,,,"Shannon, Harvey",,,,,,,,,,,,,,,,,,,,,,,Newspapers,,,,,,,,,,,,Please contact the Briscoe Center for further information regarding the use of this material.,use_and_reproduction,,,,,AI tools were used for OCR (ABBYY FineReader) and image preprocessing (OpenAI Codex). There was a human-in-the-loop for each step of the process verifying the integrity of the outputs.,,,,,cw_bigotry,,,,
camh-dob-030002_0002,,,,islandora:pageCModel,,,,Natchez Trace collection,Natchez Trace collection,Natchez Trace Collection,,,American South,,,,,B00238,Contribute metadata with credit,,"The Vicksburg Daily Times, Volume 1, Number 206, Pages 2-3",,Contains national news continued from the first page; local news; human-interest stories; river news; notices and rewards; and advertisements. Notable articles include a report on the killing of confederate army General John H. Morgan in 1864 after he surrendered; an opinion piece recommending the government abolish the internal revenue in favor of direct taxation; and a record of the proceedings of the city council. Researchers may find the 1864 report of the killing of a confederate general useful for understanding the lingering resentment in the South over Civil War events during the Reconstruction Era.,,2.325,other,,,,,,,,,,,,,,,English,,,,,,,,2,pages,,,,,reformatted digital,text,Newspapers,,,,,,,,,"Reconstruction (U.S. history, 1865-1877)",,Advertising,http://id.worldcat.org/fast/797511,American Civil War (United States : 1861-1865),,,Mississippi--Vicksburg,fast,http://id.worldcat.org/fast/1204951,Louisiana--Shreveport,fast,http://id.worldcat.org/fast/1209612,Mississippi River,,,,,1864-01-01,1867-02-20,inferred,1867-02-20,,,,1867-02-20,,,,,"Manlove, Thomas Bolling",personal,local,,"Moss, Harry",,,,,"Manlove, Thomas Bolling",Personal,local,,editor,marcrelator,http://id.loc.gov/vocabulary/relators/edt,"Moss, Harry",Personal,local,,editor,,,,,,,,,,,"Shannon, Harvey",,,,,,,,,,,,,,,,,,,,,,,Newspapers,,,,,,,,,,,,Please contact the Briscoe Center for further information regarding the use of this material.,use_and_reproduction,,,,,AI tools were used for OCR (ABBYY FineReader) and image preprocessing (OpenAI Codex). There was a human-in-the-loop for each step of the process verifying the integrity of the outputs.,,,,,cw_bigotry,,,,
camh-dob-030002_0003,,,,islandora:pageCModel,,,,Natchez Trace collection,Natchez Trace collection,Natchez Trace Collection,,,American South,,,,,B00238,Contribute metadata with credit,,"The Vicksburg Daily Times, Volume 1, Number 206, Page 4",,"Contains Masonic Directory; trustee’s sales; advertisements for land agents purchasing, selling, and leasing lands; advertisements for machinery, railroads, medicines, other businesses and services. Researchers may find advertisements useful for understanding contemporary medicine, machinery, etc.",,2.325,other,,,,,,,,,,,,,,,English,,,,,,,,1,pages,,,,,reformatted digital,text,Newspapers,,,,,,,,,"Reconstruction (U.S. history, 1865-1877)",,Advertising,http://id.worldcat.org/fast/797511,Freemasonry,,,Mississippi--Vicksburg,fast,http://id.worldcat.org/fast/1204951,Louisiana--New Orleans,fast,http://id.worldcat.org/fast/1204930,Missouri--Saint Louis,,,,1867-02-20,,,inferred,1867-02-20,,,,1867-02-20,,,,,"Kuner, Max",personal,local,,"Hubbard, H. H.",,,,,"Manlove, Thomas Bolling",Personal,local,,editor,marcrelator,http://id.loc.gov/vocabulary/relators/edt,"Moss, Harry",Personal,local,,editor,,,,,,,,,,,"Shannon, Harvey",,,,,,,,,,,,,,,,,,,,,,,Newspapers,,,,,,,,,,,,Please contact the Briscoe Center for further information regarding the use of this material.,use_and_reproduction,,,,,AI tools were used for OCR (ABBYY FineReader) and image preprocessing (OpenAI Codex). There was a human-in-the-loop for each step of the process verifying the integrity of the outputs.,,,,,cw_bigotry,,,,
camh-dob-030003,,,,islandora:bookCModel,,,,Natchez Trace collection,Natchez Trace collection,Natchez Trace Collection,,,American South,,,,,B00238,Contribute metadata with credit,,"The Vicksburg Daily Times, Volume 1, Number 207",,"Contains advertisements; regional, national, and international news; human-interest stories. Notable articles include a copy or discussion of the Military Reconstruction Bill and political commentary about Reconstruction; African American suffrage and opposition to the Radical Republicans; telegraphic market reports and national and international dispatches. Researchers may find attitudes toward African Americans and Radical Republicans useful for understanding the Reconstruction Era.",,2.325,other,,,,,,,,,,,,,,,English,http://id.loc.gov/vocabulary/iso639-2/eng,,,,,,,4,pages,22.1,megabytes,,,reformatted digital,text,Newspapers,http://vocab.getty.edu/aat/300026656,,,,,,,,"Reconstruction (U.S. history, 1865-1877)",http://id.worldcat.org/fast/1754987,Advertising,http://id.worldcat.org/fast/797511,African Americans--Suffrage,,,Mississippi--Vicksburg,fast,http://id.worldcat.org/fast/1204951,Washington (D.C.)--Capitol Hill,,,Mississippi River,,,,1867-02-21,,,inferred,1867-02-21,,,,1867-02-21,,,,,"Johnson, Andrew, 1808-1875",,,,"Stevens, Thaddeus, 1792-1868",,,,,"Manlove, Thomas Bolling",Personal,local,,editor,marcrelator,http://id.loc.gov/vocabulary/relators/edt,"Moss, Harry",Personal,local,,editor,marcrelator,http://id.loc.gov/vocabulary/relators/edt,,,,,,marcrelator,http://id.loc.gov/vocabulary/relators/pbl,,"Shannon, Harvey",,,,,,,,,,,,,,,,,,,,,,,Newspapers,,,,,,,,,,,,Please contact the Briscoe Center for further information regarding the use of this material.,use_and_reproduction,,,,,"AI tools were used for OCR (ABBYY FineReader), image preprocessing (OpenAI Codex), and metadata extraction and generation (ChatGPT 5). There was a human-in-the-loop for each step of the process verifying the integrity of the outputs.",,,,,cw_bigotry,,,,
