objectid,parentid,filename,title,format,date,subject,location,publisher,description,rights
camh-dob-030003,,,Issue camh-dob-030003 — 1867-02-21,compound_object,1867-02-21,"Reconstruction (U.S. history, 1865-1877); http://id.worldcat.org/fast/1754987; Advertising; http://id.worldcat.org/fast/797511; African Americans--Suffrage; Johnson, Andrew, 1808-1875; Stevens, Thaddeus, 1792-1868; Newspapers",Mississippi--Vicksburg; fast; http://id.worldcat.org/fast/1204951; Washington (D.C.)--Capitol Hill; Mississippi River,"Shannon, Harvey","Contains advertisements; regional, national, and international news; human-interest stories. Notable articles include a copy or discussion of the Military Reconstruction Bill and political commentary about Reconstruction; African American suffrage and opposition to the Radical Republicans; telegraphic market reports and national and international dispatches. Researchers may find attitudes toward African Americans and Radical Republicans useful for understanding the Reconstruction Era.",Please contact the Briscoe Center for further information regarding the use of this material.
camh-dob-030003_0001,camh-dob-030003,camh-dob-030003_0001.jpg,camh-dob-030003 — page 1 — 1867-02-21,image/jpeg,1867-02-21,"Reconstruction (U.S. history, 1865-1877); http://id.worldcat.org/fast/1754987; Advertising; http://id.worldcat.org/fast/797511; Stocks; http://id.worldcat.org/fast/1133704; Johnson, Andrew, 1808-1875; Personal; viaf; https://viaf.org/en/viaf/73872723; Stevens, Thaddeus, 1792-1868; Newspapers",Mississippi--Vicksburg; fast; http://id.worldcat.org/fast/1204951; Washington (D.C.)--Capitol Hill; http://id.worldcat.org/fast/1322860; New York (State)--New York,"Shannon, Harvey","Contains Vicksburg business directory; details about Vicksburg professional services; regional, national, and international news; stock information; and advertisements. Notable articles include President Johnson's reaction to a civil rights violation; House debate about Provisional governments and the Army Appropriation Bill; and a ship leaving Calcutta for Boston abandoned. Researchers may find the discussion of Reconstruction useful for understanding the continuing tension between the North and the South in the aftermath of the Civil War",Please contact the Briscoe Center for further information regarding the use of this material.
camh-dob-030003_0002,camh-dob-030003,camh-dob-030003_0002.jpg,camh-dob-030003 — page 2 — 1867-02-21,image/jpeg,1867-02-21,"Reconstruction (U.S. history, 1865-1877); http://id.worldcat.org/fast/1754987; Advertising; http://id.worldcat.org/fast/797511; African Americans--Suffrage; http://id.worldcat.org/fast/974633; Begley, Barney; Newspapers",Mississippi--Vicksburg; fast; http://id.worldcat.org/fast/1204951; Mississippi River; Kentucky--Louisville,"Shannon, Harvey",Contains regional and national news; human-interest stories; river news; notices and rewards; advertisements. Notable articles include river news and coverage of Mississippi River commerce and conventions; steamboat schedules and departures; local notices and theft and reward announcements; agricultural advice on the use of manures and guano; and political commentary referencing Radical Republicans and African American suffrage. Researchers may find the discussion of Reconstruction useful for understanding the continuing tension between the North and the South during the Reconstruction Era; and attitudes toward African American suffrage useful for understanding persistent racism in the South during the Reconstruction Era.,Please contact the Briscoe Center for further information regarding the use of this material.
camh-dob-030003_0003,camh-dob-030003,camh-dob-030003_0003.jpg,camh-dob-030003 — page 3 — 1867-02-21,image/jpeg,1867-02-21,"Reconstruction (U.S. history, 1865-1877); http://id.worldcat.org/fast/1754987; Advertising; http://id.worldcat.org/fast/797511; Freemasonry; http://id.worldcat.org/fast/1014893; Kuner, Max; Hubbard, H. H.; Newspapers",Mississippi--Vicksburg; fast; http://id.worldcat.org/fast/1204951; Louisiana--New Orleans; http://id.worldcat.org/fast/1204311; Missouri--Saint Louis,"Shannon, Harvey","Contains Masonic Directory; trustee’s sales; advertisements for land agents purchasing, selling, and leasing lands; advertisements for machinery, railroads, medicines, other businesses and services. Researchers may find advertisements useful for understanding contemporary medicine, machinery, etc.",Please contact the Briscoe Center for further information regarding the use of this material.
camh-dob-030006,,,Issue camh-dob-030006 — 1867-02-26,compound_object,1867-02-26,"Reconstruction (U.S. history, 1865-1877); http://id.worldcat.org/fast/1754987; Military occupation; http://id.worldcat.org/fast/995678; Politics and government; http://id.worldcat.org/fast/1919741; Brown, Joseph E. (Joseph Emerson), 1821-1894; Personal; viaf; http://viaf.org/viaf/55601893; Seward, Frederick William, 1830-1915; http://viaf.org/viaf/77754769; Newspapers",Mississippi--Vicksburg; fast; http://id.worldcat.org/fast/1204951; Louisiana--New Orleans; http://id.worldcat.org/fast/1204311,"Shannon, Harvey","Contains advertisements; regional, national, and international news; human-interest stories. Notable articles include a detailed summary of the Military Bill, which divided the South into military districts and was the first of the Military Reconstruction Acts; and political commentary opposing the bill. Researchers may find the frequent discussions of the Military Bill useful for understanding Southern perceptions of the military presence of the South in the Reconstruction Era and resentment toward Radical Republicans.",Please contact the Briscoe Center for further information regarding the use of this material.
camh-dob-030006_0001,camh-dob-030006,camh-dob-030006_0001.jpg,camh-dob-030006 — page 1 — 1867-02-26,image/jpeg,1867-02-26,"Reconstruction (U.S. history, 1865-1877); http://id.worldcat.org/fast/1754987; Politics and government; http://id.worldcat.org/fast/995678; Slave trade; http://id.worldcat.org/fast/1120405; Brown, Joseph E. (Joseph Emerson), 1821-1894; Personal; viaf; http://viaf.org/viaf/55601893; Newspapers",Mississippi--Vicksburg; fast; http://id.worldcat.org/fast/1204951; Louisiana--New Orleans; http://id.worldcat.org/fast/1204311; West Indies,"Shannon, Harvey","Contains Vicksburg business directory; details about Vicksburg professional services; news covering stock information; regional, national, and international news; human-interest stories; and advertisements. Notable articles include a summary of the Military Bill, which would divide the former Confederate states into five military districts and set new qualifications for voting; and a dispatch from New York that reports the importation of indentured laborers has made the illegal slave trade unprofitable in the West Indies. Researchers may find the discussion of the Military Bill useful for understanding Southern perceptions of the military presence in the South in the Reconstruction Era and resentment toward Radical Republicans.",Please contact the Briscoe Center for further information regarding the use of this material.
camh-dob-030006_0002,camh-dob-030006,camh-dob-030006_0002.jpg,camh-dob-030006 — page 2 — 1867-02-26,image/jpeg,1867-02-26,"Reconstruction (U.S. history, 1865-1877); http://id.worldcat.org/fast/1754987; Legislation--U.S. states; http://id.worldcat.org/fast/995678; Politics and government; http://id.worldcat.org/fast/1919741; Seward, Frederick William, 1830-1915; Personal; viaf; http://viaf.org/viaf/77754769; Newspapers",Mississippi--Vicksburg; fast; http://id.worldcat.org/fast/1204951; Mississippi; http://id.worldcat.org/fast/1207034; Dominican Republic; http://id.worldcat.org/fast/1206148,"Shannon, Harvey",Contains regional and national news; human-interest stories; river news; notices and rewards; and advertisements. Notable articles include political commentary about the passage of the Military Bill and the conversion of Mississippi into a Territory; and a report on the failure of a secret mission involving Frederick Seward to purchase the island of St. Domingo for the United States. Researchers may find attitudes toward the Military Bill useful for understanding Southern Democrats' views on Reconstruction.,Please contact the Briscoe Center for further information regarding the use of this material.
camh-dob-030006_0003,camh-dob-030006,camh-dob-030006_0003.jpg,camh-dob-030006 — page 3 — 1867-02-26,image/jpeg,1867-02-26,"Reconstruction (U.S. history, 1865-1877); http://id.worldcat.org/fast/1754987; Advertising; Freemasonry; Kuner, Max; Hubbard, H. H.; Newspapers",Mississippi--Vicksburg; Louisiana--New Orleans; Missouri--Saint Louis,"Shannon, Harvey","Contains Masonic Directory; trustee’s sales; advertisements for land agents purchasing, selling, and leasing lands; advertisements for machinery, railroads, medicines, other businesses and services. Researchers may find advertisements useful for understanding contemporary medicine, machinery, etc.",Please contact the Briscoe Center for further information regarding the use of this material.
camh-dob-030008,,,Issue camh-dob-030008 — 1867-02-28,compound_object,1867-02-28,"Reconstruction (U.S. history, 1865-1877); African Americans--Suffrage; Politics and government; Johnson, Andrew, 1808-1875; Stevens, Thaddeus, 1792-1868; Newspapers",Mississippi--Vicksburg; Washington (D.C.); Louisiana--New Orleans,"Shannon, Harvey","Contains advertisements; regional, national, and international news; human-interest stories. Notable articles include a copy of The Military Bill as well as political commentary about Reconstruction, African American suffrage, and opposition to the Radical Republicans. Researchers may find the discussion of Radical Republicans and Reconstruction useful for understanding the continuing tension between the North and the South in the aftermath of the Civil War; and attitudes toward African American suffrage useful for understanding persistent racism in the South during Reconstruction.",Please contact the Briscoe Center for further information regarding the use of this material.
camh-dob-030008_0001,camh-dob-030008,camh-dob-030008_0001.jpg,camh-dob-030008 — page 1 — 1867-02-28,image/jpeg,1867-02-28,"Reconstruction (U.S. history, 1865-1877); Politics and government; Military history; Johnson, Andrew, 1808-1875; Paxton, R. E.; Newspapers",Mississippi--Vicksburg; Washington (D.C.),"Shannon, Harvey","Contains Vicksburg business directory; details about Vicksburg professional services; news covering stock information; regional, national, and international news; human-interest stories; and advertisements. Notable articles include a copy of the Military Bill, and comments about other Congressional activities. Researchers may find the copy of the Military Bill useful for understanding post-Civil War U.S. military history.",Please contact the Briscoe Center for further information regarding the use of this material.
